id,Artist,Title,Album,Year,Date,Lyric
0,Coldplay,The Scientist,A Rush of Blood to the Head,2002,2002-08-26,come up to meet you tell you i'm sorry you don't know how lovely you are i had to find you tell you i need you tell you i set you apart tell me your secrets and ask me your questions oh let's go back to the start running in circles coming up tails heads on a science apart   nobody said it was easy it's such a shame for us to part nobody said it was easy no one ever said it would be this hard oh take me back to the start   i was just guessing at numbers and figures pulling the puzzles apart questions of science science and progress do not speak as loud as my heart tell me you love me come back and haunt me oh and i rush to the start running in circles chasing our tails coming back as we are   nobody said it was easy oh it's such a shame for us to part nobody said it was easy no one ever said it would be so hard i'm going back to the start   ohooh oohoohoohooh ahooh oohoohoohooh ohooh oohoohoohooh ohooh oohoohoohooh
1,Coldplay,Viva la Vida,Viva La Vida or Death and All His Friends,2008,2008-05-25,chris martin i used to rule the world seas would rise when i gave the word now in the morning i sleep alone sweep the streets i used to own   chris martin i used to roll the dice feel the fear in my enemy's eyes listen as the crowd would sing now the old king is dead long live the king one minute i held the key next the walls were closed on me and i discovered that my castles stand upon pillars of salt and pillars of sand   chris martin i hear jerusalem bells are ringing roman cavalry choirs are singing be my mirror my sword and shield my missionaries in a foreign field for some reason i can't explain once you'd gone there was never never an honest word and that was when i ruled the world   chris martin it was the wicked and wild wind blew down the doors to let me in shattered windows and the sound of drums people couldn't believe what i'd become revolutionaries wait for my head on a silver plate just a puppet on a lonely string oh who would ever want to be king   chris martin i hear jerusalem bells are ringing roman cavalry choirs are singing be my mirror my sword and shield my missionaries in a foreign field for some reason i can't explain i know saint peter won't call my name never an honest word but that was when i ruled the world   will jonny guy brian ohohwoah ohoh oh ohohwoah ohoh oh ohohwoah ohoh oh ohohwoah ohoh oh  breakdown chris martin  will jonny guy  brian ohohwoah ohoh oh i hear jerusalem bells are ringing ohohwoah ohoh oh roman cavalry choirs are singing ohohwoah ohoh oh be my mirror my sword and shield ohohwoah ohoh oh my missionaries in a foreign field ohohwoah ohoh oh for some reason i can't explain ohohwoah ohoh oh i know saint peter won't call my name never an honest word but that was when i ruled the world   mmm mmm mmm mmm mmm mmm mmm mmm mmm mmm
2,Coldplay,Fix You,X&Y,2005,2005-06-06,chris martin when you try your best but you don't succeed when you get what you want but not what you need when you feel so tired but you can't sleep stuck in reand the tears come streaming down your face when you lose something you can't replace when you love someone but it goes to waste could it be worse   chris chris  will lights will guide you home and ignite your bones and i will try to fix you   chris martin and high up above or down below when you're too in love to let it go but if you never try you'll never know just what you're worth   chris  will lights will guide you home and ignite your bones and i will try to fix you     breakdown chris jonny guy will tears stream down your face when you lose something you cannot replace tears stream down your face and i tears stream down your face i promise you i will learn from my mistakes tears stream down your face and i   chris martin lights will guide you home and ignite your bones and i will try to fix you
3,Coldplay,Yellow,Parachutes,2000,2000-06-26,chris martin look at the stars look how they shine for you and everything you do yeah they were all yellow i came along i wrote a song for you and all the things you do and it was called yellow so then i took my turn oh what a thing to have done and it was all yellow    chris jonny  will aah your skin oh yeah your skin and bones ooh turn into something beautiful aah you know you know i love you so you know i love you so   chris martin i swam across i jumped across for you oh what a thing to do 'cause you were all yellow i drew a line i drew a line for you oh what a thing to do and it was all yellow    chris jonny  will aah your skin oh yeah your skin and bones ooh turn into something beautiful aah and you know for you i'd bleed myself dry for you i'd bleed myself dry   chris martin it's true look how they shine for you look how they shine for you look how they shine for look how they shine for you look how they shine for you look how they shine   chris martin look at the stars look how they shine for you and all the things that you do
4,Coldplay,Hymn for the Weekend,A Head Full of Dreams,2016,2016-01-25,beyoncé and said drink from me drink from me ohahohah that we shoot across the sky symphony that we shoot across the sky pour on a drink from me drink from me ohahohah that we shoot across the sky symphony so high so high that we shoot across the sky   chris martin oh angel sent from up above you know you make my world light up when i was down when i was hurt you came to lift me up life is a drink and love's a drug oh now i think i must be miles up when i was a river dried up you came to rain a flood  pre chris martin with beyoncé you said drink from me drink from me when i was so thirsty poured on a symphony now i just can't get enough put your wings on me wings on me when i was so heavy poured on a symphony when i'm low low low low   chris martin i ohi ohi got me feeling drunk and high so high so high ohi ohi ohi now im feeling drunk and high so high so high woo woooooooowoo   chris martin with beyoncé oh angel sent from up above i feel you coursing through my blood life is a drink and your love's about to make the stars come out  pre chris martin with beyoncé put your wings on me wings on me when i was so heavy poured on a symphony when i'm low low low low   chris martin i ohi ohi got me feeling drunk and high so high so high ohi ohi ohi im feeling drunk and high so high so high   beyoncé with chris martin i ohi ohi la la la la la la la so high so high i ohi ohi now i'm feeling drunk and high so high so high   beyoncé  with chris martin that i shoot across the sky that i shoot across the that i shoot across the sky let me shoot across the let me shoot let me shoot across the sky let me shoot across the let me shoot across the sky that we shoot across the
5,Coldplay,A Sky Full of Stars,Ghost Stories,2014,2014-05-02,'cause you're a sky 'cause you're a sky full of stars i'm gonna give you my heart 'cause you're a sky 'cause you're a sky full of stars 'cause you light up the path   i don't care go on and tear me apart i don't care if you do oohooh ooh 'cause in a sky 'cause in a sky full of stars i think i saw you oohoohooh oohoohooh   'cause you're a sky 'cause you're a sky full of stars i wanna die in your arms ohohoh ohoh 'cause you get lighter the more it gets dark i'm gonna give you my heart oh   i don't care go on and tear me apart i don't care if you do oohooh ooh 'cause in a sky 'cause in a sky full of stars i think i see you oohoohooh oohoohooh i think i see you oohoohooh oohoohooh   'cause you're a sky you're a sky full of stars such a heavenly view you're such a heavenly view yeah yeah yeah ooh
6,Coldplay,Everglow,A Head Full of Dreams,2015,2015-11-26,oh they say people come say people go this particular diamond was extra special and though you might be gone and the world may not know still i see you celestial   like a lion you ran a goddess you rolled like an eagle you circled in perfect purple so how come things move on how come cars dont slow when it feels like the end of my world when i should but i cant let you go    but when im cold cold when im cold cold theres a light that you give me when im in shadow theres a feeling within me everglow   like brothers in blood sisters who ride and we swore on that night wed be friends 'til we die but the changing of winds and the way waters flow life is short as the falling of snow and now im gonna miss you i know    but when im cold cold in water rolled salt and i know that youre with me and the way you will show and youre with me wherever i go and you give me this feeling this everglow   oh what i wouldn't give for just a moment to hold because i live for this feeling this everglow   so if you love someone you should let them know oh the light that you left me will everglow
7,Coldplay,Adventure of a Lifetime,A Head Full of Dreams,2015,2015-11-06,indecipherable   turn your magic on umi she'd say everything you want's a dream away and we are legends every day that's what she told him   turn your magic on to me she'd say everything you want's a dream away under this pressure under this weight we are diamonds   now i feel my heart beating i feel my heart beneath my skin and i feel my heart beating oh you make me feel like i'm alive again  post alive again oh you make me feel like i'm alive again   said i can't go on not in this way i'm a dream that died by light of day gonna hold up half the sky and say only i own me   now i feel my heart beating i feel my heart beneath my skin oh i can feel my heart beating 'cause you make me feel like i'm alive again  post alive again oh you make me feel like i'm alive again   turn your magic on umi she'd say everything you want's a dream away under this pressure under this weight we are diamonds taking shape we are diamonds taking shape woo woo  refrain if we've only got this life this adventure oh then i and if we've only got this life you'll get me through and if we've only got this life in this adventure oh then i want to share it with you with you with you yeah i do   woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo
8,Coldplay,Orphans,Everyday Life,2019,2019-10-24,chris martin  choir moses martin i want to know when i can go back and get drunk with my friends boom boom kah buba de kah boom boom kah buba de kah boom boom kah buba de kah   chris martin rosaleem of the damascene yes she had eyes like the moon would have been on the silver screen but for the missile monsoon  refrain chris martin  choir she went woowoo woowoo oohoohooh indigo up in heaven today woowoo woowoo oohoohooh bombs going boombababoom she say   chris martin  choir i want to know when i can go back and get drunk with my friends i want to know when i can go back and be young again   chris martin baba would go where the flowers grow almond and peach trees in bloom and he would know just when and what to sow so golden and opportune  refrain chris martin  choir but he went woowoo woowoo oohoohooh tulips the colour of honey today it's true true woowoo oohoohooh bombs going boombababoom he say   chris martin  choir oh i want to know when i can go back and get drunk with my friends i want to know when i can go back and be young again yeah   chris martin woowoo woowoo oohoohooh woowoo woowoo oohoohooh cherubim seraphim soon come sailing us home by the light of the moon   chris martin  choir oh i want to know when i can go back and get drunk with my friends i want to know when i can go back and feel home again  refrain chris martin  choir woowoo woowoo oohoohooh i guess we'll be raised on our own then woowoo woowoo oohoohooh 'cause i want to be with you 'til the world ends i want to be with you 'til the whole world ends   moses martin boom boom kah buba de kah boom boom kah buba de kah boom boom kah buba de kah boom
9,Coldplay,Paradise,Mylo Xyloto,2011,2011-09-12,oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh when she was just a girl she expected the world but it flew away from her reach so she ran away in her sleep   and dreamed of paraparaparadise paraparaparadise paraparaparadise every time she closed her eyes   oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh when she was just a girl she expected the world but it flew away from her reach and the bullets catch in her teeth life goes on it gets so heavy the wheel breaks the butterfly every tear a waterfall in the night the stormy night she'd close her eyes in the night the stormy night away she'd fly   and dream of paraparaparadise paraparaparadise paraparaparadise oh ohoh ohoh ohohoh she'd dream of paraparaparadise paraparaparadise paraparaparadise oh ohoh ohoh ohohoh   la lala lalala la lala lalala la lala lalala lala so lying underneath those stormy skies she said oh ohohohoh i know the sun must set to rise   this could be paraparaparadise paraparaparadise this could be paraparaparadise oh ohoh ohoh ohohoh this could be paraparaparadise paraparaparadise this could be paraparaparadise oh ohoh ohoh ohohoh   break   this could be paraparaparadise this could be paraparaparadise this could be paraparaparadise ohohohohoh ohohoh   oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh
10,Coldplay,Magic,Ghost Stories,2014,2014-03-03,call it magic call it true i call it magic when i'm with you and i just got broken broken into two still i call it magic when i'm next to you   and i don't and i don't and i don't and i don't no i don't it's true i don't no i don't no i don't no i don't want anybody else but you i don't no i don't no i don't no i don't no i don't it's true i don't no i don't no i don't no i don't want anybody else but you oooh ooh oohooh   call it magic cut me into two and with all your magic i disappear from view and i can't get over can't get over you still i call it magic such a precious jewel   and i don't and i don't and i don't and i don't no i don't it's true i don't no i don't no i don't no i don't want anybody else but you i don't no i don't no i don't no i don't no i don't it's true i don't no i don't no i don't no i don't want anybody else but you   wanna fall fall so far i wanna fall fall so hard and i call it magic and i call it true i call it ma mamamagic oooh ooh oohooh oooh ooh oohooh oooh ooh oohooh oooh ooh oohooh   and if you were to ask me after all that we've been through still believe in magic oh yes i do oh yes i do oh yes i do oh yes i do of course i do
11,Coldplay,Clocks,A Rush of Blood to the Head,2002,2002-08-26,the lights go out and i can't be saved tides that i tried to swim against have brought me down upon my knees oh i beg i beg and plead singin' come out of things unsaid shoot an apple off my head and a trouble that can't be named a tiger's waiting to be tamed singin'   you are you are   confusion never stops closing walls and tickin' clocks gonna come back and take you home i could not stop that you now know singin' come out upon my seas cursed missed opportunities am i a part of the cure or am i part of the disease singin'   you are you are you are you are you are you are   and nothing else compares oh nothing else compares and nothing else compares   you are you are   home home where i wanted to go home home where i wanted to go home you are home where i wanted to go home you are home where i wanted to go
