id,Artist,Title,Album,Year,Date,Lyric
0,Katy Perry,Swish Swish,Witness,2017,2017-05-19,refrain they know what is what but they don't know what is what they just strut what the fuck   katy perry a tiger don't lose no sleep don't need opinions from a shellfish or a sheep don't you come for me no not today you're calculated i got your number 'cause you're a joker and i'm a courtside killer queen and you will kiss the ring you best believe  pre katy perry so keep calm honey i'ma stick around for more than a minute get used to it funny my name keeps comin' outcho mouth 'cause i stay winning lay 'em up like   katy perry swish swish bish another one in the basket can't touch this another one in the casket   katy perry your game is tired you should retire you're 'bout cute as an old coupon expired and karma's not a liar she keeps receipts  pre katy perry so keep calm honey i'ma stick around for more than a minute get used to it funny my name keeps comin' outcho mouth 'cause i stay winning lay 'em up like   katy perry swish swish bish another one in the basket can't touch this another one in the casket swish swish bish another one in the basket can't touch this another one in the casket  refrain they know what is what but they don't know what is what katy perry they just know what is what young money but they don't know what is what they just know what is what but they don't know what is what they just strut hahaha yo what the fuck   nicki minaj pink ferragamo sliders on deck silly rap beefs just get me more checks my life is a movie i'm never off set me and my amigos no not offset swish swish aww i got them upset but my shooters'll make 'em dance like dubstep swish swish aww my haters is obsessed 'cause i make m's they get much less don't be tryna double back i already despise you all that fake love you showin' couldn't even disguise you ran when nicki gettin' tan mirror mirror who's the fairest bitch in all the land damn man this bitch is a stan muah muah the generous queen will kiss a fan ass goodbye i'ma be riding by i'ma tell my  biggz yeah that's tha guy a star's a star da ha da ha they never thought the swish god would take it this far get my pimp cup this is pimp shit baby i only rock with queens so i'm makin' hits with katy   katy perry swish swish bish another one in the basket can't touch this another one in the casket  refrain they know what is what do they know but they don't know what is what they just know what is what but they don't know what is what they just know what is what but they don't know what is what they just strut what the
1,Katy Perry,Chained to the Rhythm,Witness,2017,2017-02-10,katy perry are we crazy living our lives through a lens trapped in our white picket fence like ornaments so comfortable we're living in a bubble bubble so comfortable we cannot see the trouble trouble aren't you lonely up there in utopia where nothing will ever be enough happily numb so comfortable we're living in a bubble bubble so comfortable we cannot see the trouble trouble  pre katy perry so put your rosecolored glasses on and party on   katy perry turn it up it's your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think we're free drink this one is on me we're all chained to the rhythm to the rhythm to the rhythm turn it up it's your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think we're free drink this one is on me we're all chained to the rhythm to the rhythm to the rhythm   katy perry are we tone deaf keep sweeping it under the mat thought we could do better than that i hope we can so comfortable we're living in a bubble bubble so comfortable we cannot see the trouble trouble  pre katy perry so put your rosecolored glasses on and party on   katy perry turn it up it's your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think we're free drink this one is on me we're all chained to the rhythm to the rhythm to the rhythm turn it up it's your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think we're free drink this one is on me we're all chained to the rhythm to the rhythm to the rhythm   skip marley it is my desire break down the walls to connect inspire ay up in your high place liars time is ticking for the empire the truth they feed is feeble as so many times before they greed over the people they stumbling and fumbling and we're about to riot they woke up they woke up the lions woo   katy perry turn it up it's your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think we're free drink this one is on me we're all chained to the rhythm to the rhythm to the rhythm   katy perry turn it up turn it up it goes on and on and on it goes on and on and on it goes on and on and on 'cause we're all chained to the rhythm
2,Katy Perry,Dark Horse,PRISM,2013,2013-10-18,juicy j yeah ya'll know what it is katy perry juicy j uhhuh let's rage   katy perry i knew you were you were gonna come to me and here you are but you better choose carefully 'cause i i'm capable of anything of anything and everything make me your aphrodite make me your one and only but don't make me your enemy enemy your enemy your enemy your enemy   katy perry so you wanna play with magic boy you should know what you're fallin' for baby do you dare to do this 'cause i'm coming at you like a dark horse are you ready for ready for a perfect storm perfect storm 'cause once you're mine once you're mine there's no going back   katy perry mark my words this love will make you levitate like a bird like a bird without a cage we're down to earth if you choose to walk away don't walk away walk away it's in the palm of your hand now baby it's a yes or a no no maybe so just be sure before you give it all to me all to me give it all to me   katy perry so you wanna play with magic boy you should know what you're fallin' for baby do you dare to do this 'cause i'm coming at you like a dark horse are you ready for ready for a perfect storm perfect storm 'cause once you're mine once you're mine there's no going back   juicy j she's a beast i call her karma come back she eat your heart out like jeffrey dahmer woo be careful try not to lead her on shawty's heart is on steroids 'cause her love is so strong you may fall in love when you meet her meet her if you get the chance you better keep her keep her she's sweet as pie but if you break her heart she turn cold as a freezer freezer that fairy tale ending with a knight in shining armor she can be my sleeping beauty i'm gon' put her in a coma woo damn i think i love her shawty's so bad i'm sprung and i don't care she ride me like a roller coaster turn the bedroom into a fair a fair her love is like a drug i was tryna hit it and quit it but lil mama so dope i messed around and got addicted   katy perry so you wanna play with magic boy you should know what you're fallin' for you should know baby do you dare to do this 'cause i'm coming at you like a dark horse like a dark horse are you ready for ready for ready for a perfect storm perfect storm a perfect storm 'cause once you're mine once you're mine there's no going back  produced by max martin and dr luke video directed by matthew cullen
3,Katy Perry,Bon Appétit,Witness,2017,2017-04-28,quavo ayy yeah katy perry migos ayy   katy perry 'cause i'm all that you want boy all that you can have boy got me spread like a buffet bon a bon appétit baby appetite for seduction fresh out the oven melt in your mouth kind of lovin' bon a bon appétit baby woo   katy perry looks like you've been starving you've got those hungry eyes woo you could use some sugar 'cause your levels ain't right woo i'm a fivestar michelin a kobe flown in woo you want what i'm cooking boy  pre katy perry let me take you woo under candlelight we can wine and dine a table for two and it's okay woo if you take your time eat with your hands fine i'm on the menu   katy perry 'cause i'm all that you want boy all that you can have boy got me spread like a buffet bon a bon appétit baby appetite for seduction fresh out the oven melt in your mouth kind of lovin' bon a bon appétit baby woo   katy perry  quavo so you want some more well i'm open 4 woo wanna keep you satisfied customer's always right woo hope you've got some room for the world's best cherry pie woo gonna hit that sweet tooth ayy boy  pre katy perry quavo  both let me take you woo under candlelight we can wine and dine a table for two and it's okay woo if you take your time ayy eat with your hands fine yeah i'm on the menu go ahead   katy perry  quavo 'cause i'm all that you want boy all that you want all that you can have boy ayy got me spread like a buffet bon a bon appétit baby bon appétit appetite for seduction fresh out the oven fresh out the oven melt in your mouth kind of lovin' bon appétit baby 'cause i'm all that you want boy all that you can have boy got me spread like a buffet bon a bon appétit baby bon appétit appetite for seduction fresh out the oven melt in your mouth kind of lovin' bon a bon appétit baby quavo   quavo sweet potato pie it'll change your mind change got you running back for seconds running every single night  4 takeoff i'm the one they say can change your life takeoff no waterfall she drippin' wet you like my ice blast she say she want a migo night now i ask her what's the price hold on if she do right told her get whatever you like  5 offset offset i grab her legs and now divide aight make her do a donut when she ride aight looking at the eyes of a dime make you blind in her spine and my diamonds change the climate  6 quavo  katy perry sweet tooth no tooth fairy whipped cream no dairy got her hot light on screaming i'm ready but no horses no carriage   katy perry  quavo 'cause i'm all that you want boy all that you want all that you can have boy oh got me spread like a buffet bon a bon appétit baby eat it up eat it up eat it up appetite for seduction yeah yeah yeah fresh out the oven melt in your mouth kind of lovin' bon a bon appétit baby bon appétit   quavo  katy perry under candlelight yeah woo bon appétit baby
4,Katy Perry,Roar,PRISM,2013,2013-08-10,i used to bite my tongue and hold my breath scared to rock the boat and make a mess so i sat quietly agreed politely i guess that i forgot i had a choice i let you push me past the breaking point i stood for nothing so i fell for everything  pre you held me down but i got up hey already brushing off the dust you hear my voice your hear that sound like thunder gonna shake the ground you held me down but i got up hey get ready cause i had enough i see it all i see it now   i got the eye of the tiger a fighter dancing through the fire 'cause i am a champion and youre gonna hear me roar louder louder than a lion 'cause i am a champion and youre gonna hear me roar  post oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh youre gonna hear me roar   now im floating like a butterfly stinging like a bee i earned my stripes i went from zero to my own hero  pre you held me down but i got up hey already brushing off the dust you hear my voice you hear that sound like thunder gonna shake the ground you held me down but i got up got up get ready 'cause i've had enough i see it all i see it now   i got the eye of the tiger a fighter dancing through the fire 'cause i am a champion and youre gonna hear me roar louder louder than a lion 'cause i am a champion and youre gonna hear me roar  post oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh youre gonna hear me roar oh oh oh oh oh oh oh oh oh oh oh oh oh oh you'll hear me roar oh oh oh oh oh oh oh youre gonna hear me roar   roar roar roar roar roar   i got the eye of the tiger a fighter dancing through the fire 'cause i am a champion and youre gonna hear me roar oh louder louder than a lion 'cause i am a champion and youre gonna hear me roar  post oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh yeah youre gonna hear me roar oh oh oh oh oh oh oh oh oh oh oh oh oh oh you'll hear me roar oh oh oh oh oh oh oh youre gonna hear me roar  video directed by grady hall  mark kudsi produced by dr luke  max martin
5,Katy Perry,Never Really Over,Smile (Fan Edition),2019,2019-05-31,i'm losing my selfcontrol yeah youre starting to trickle back in but i don't wanna fall down the rabbit hole cross my heart i won't do it again  pre i tell myself tell myself tell myself draw the line and i do i do but once in a while i trip up and i cross the line and i think of you   two years and just like that my head still takes me back thought it was done but i guess its never really over oh we were such a mess but wasn't it the best thought it was done but i guess it's never really over  post just because it's over doesn't mean it's really over and if i think it over maybe you'll be coming over again and i'll have to get over you all over again just because its over doesnt mean it's really over and if i think it over maybe youll be coming over again and i'll have to get over you all over again   i guess i could try hypnotherapy i gotta rewire this brain 'cause i can't even go on the internet without even checking your name  pre i tell myself tell myself tell myself draw the line and i do i do but once in a while i trip up and i cross the line i think of you   two years and just like that my head still takes me back thought it was done but i guess its never really over oh we were such a mess but wasn't it the best thought it was done but i guess it's never really over  post just because it's over doesn't mean it's really over and if i think it over maybe you'll be coming over again and i'll have to get over you all over again just because it's over doesn't mean it's really over and if i think it over maybe you'll be coming over again and i'll have to get over you all over again   thought we kissed goodbye thought we meant this time was the last but i guess it's never really over thought we drew the line right through you and i can't keep going back i guess it's never really over yeah   two years and just like that my head still takes me back thought it was done but i guess it's never really over  post just because it's over doesn't mean it's really over and if i think it over maybe you'll be coming over again and i'll have to get over you all over again and i'll have to get over you all over again just because it's over doesn't mean it's really over and if i think it over maybe you'll be coming over again and i'll have to get over you all over again over you all over again   thought we kissed goodbye thought we meant this time was the last but i guess it's never really over thought we drew the line right through you and i can't keep going back i guess it's never really over
6,Katy Perry,Firework,Teenage Dream,2010,2010-08-24,do you ever feel like a plastic bag drifting through the wind wanting to start again do you ever feel feel so paperthin like a house of cards one blow from caving in do you ever feel already buried deep six feet under screams but no one seems to hear a thing do you know that there's still a chance for you 'cause there's a spark in you  pre you just gotta ignite the light and let it shine just own the night like the fourth of july   'cause baby you're a firework come on show 'em what you're worth make 'em go aah aah aah as you shoot across the sky baby you're a firework come on let your colors burst make 'em go aah aah aah you're gonna leave them all in awe awe awe   you don't have to feel like a waste of space you're original cannot be replaced if you only knew what the future holds after a hurricane comes a rainbow maybe a reason why all the doors are closed so you could open one that leads you to the perfect road like a lightning bolt your heart will glow and when it's time you'll know  pre you just gotta ignite the light and let it shine just own the night like the fourth of july   'cause baby you're a firework come on show 'em what you're worth make 'em go aah aah aah as you shoot across the sky baby you're a firework come on let your colors burst make 'em go aah aah aah you're gonna leave them all in awe awe awe   boom boom boom even brighter than the moon moon moon it's always been inside of you you you and now it's time to let it through   'cause baby you're a firework come on show 'em what you're worth make 'em go aah aah aah as you shoot across the sky baby you're a firework come on let your colors burst make 'em go aah aah aah you're gonna leave them all in awe awe awe   boom boom boom even brighter than the moon moon moon boom boom boom even brighter than the moon moon moon
7,Katy Perry,The One That Got Away,Teenage Dream,2010,2010-08-24,summer after high school when we first met we'd make out in your mustang to radiohead and on my 8th birthday we got matching tattoos used to steal your parents' liquor and climb to the roof talk about our future like we had a clue never planned that one day i'd be losing you   in another life i would be your girl we'd keep all our promises be us against the world in another life i would make you stay so i don't have to say you were the one that got away the one that got away   i was june and you were my johnny cash never one without the other we made a pact sometimes when i miss you i put those records on whoa someone said you had your tattoo removed saw you downtown singing the blues it's time to face the music i'm no longer your muse   but in another life i would be your girl we'd keep all our promises be us against the world in another life i would make you stay so i don't have to say you were the one that got away the one that got away  post the one the one the one the one that got away   all this money can't buy me a time machine no can't replace you with a million rings no i should've told you what you meant to me whoa 'cause now i pay the price   in another life i would be your girl we'd keep all our promises be us against the world in another life i would make you stay so i don't have to say you were the one that got away the one that got away  post the one the one the one the one the one the one in another life i would make you stay so i don't have to say you were the one that got away the one that got away
8,Katy Perry,Rise,NOW That’s What I Call Music! 60 [US],2016,2016-07-15,i won't just survive oh you will see me thrive can write my story i'm beyond the archetype i won't just conform no matter how you shake my core cause my roots they run deep oh  pre  oh ye of so little faith don't doubt it don't doubt it victory is in my veins i know it i know it and i will not negotiate i'll fight it i'll fight it i will transform   when when the fire's at my feet again and the vultures all start circling they're whispering you're out of time but still i rise this is no mistake no accident when you think the final nail is in think again don't be surprised i will still rise   i must stay conscious through the madness and chaos so i call on my angels they say  pre  oh ye of so little faith don't doubt it don't doubt it victory is in your veins you know it you know it and you will not negotiate just fight it just fight it and be transformed   cause when when the fire's at my feet again and the vultures all start circling they're whispering you're out of time but still i rise this is no mistake no accident when you think the final nail is in think again don't be surprised i will still rise   don't doubt it don't doubt it oh oh oh oh you know it you know it still rise just fight it just fight it don't be surprised i will still rise
10,Katy Perry,I Kissed a Girl,One of the Boys,2008,2008-04-28,this was never the way i planned not my intention i got so brave drink in hand lost my discretion it's not what i'm used to just wanna try you on i'm curious for you caught my attention   i kissed a girl and i liked it the taste of her cherry chapstick i kissed a girl just to try it i hope my boyfriend don't mind it it felt so wrong it felt so right don't mean i'm in love tonight i kissed a girl and i liked it i liked it   no i don't even know your name it doesn't matter you're my experimental game just human nature it's not what good girls do not how they should behave my head gets so confused hard to obey   i kissed a girl and i liked it the taste of her cherry chapstick i kissed a girl just to try it i hope my boyfriend don't mind it it felt so wrong it felt so right don't mean i'm in love tonight i kissed a girl and i liked it i liked it   us girls we are so magical soft skin red lips so kissable hard to resist so touchable too good to deny it ain't no big deal it's innocent   i kissed a girl and i liked it the taste of her cherry chapstick i kissed a girl just to try it i hope my boyfriend don't mind it it felt so wrong it felt so right don't mean i'm in love tonight i kissed a girl and i liked it i liked it
